,peak_duration,peak_size,entity,peak_start_date
135,0,41,Aam Aadmi Party,2020-02-12
136,0,20,Aam Aadmi Party,2020-02-13
137,0,19,Aam Aadmi Party,2020-02-14
138,0,19,Aam Aadmi Party,2020-02-15
139,0,24,Aam Aadmi Party,2020-02-16
140,0,7,Aam Aadmi Party,2020-02-17
141,0,6,Aam Aadmi Party,2020-02-18
142,0,9,Aam Aadmi Party,2020-02-19
143,0,9,Aam Aadmi Party,2020-02-20
144,0,8,Aam Aadmi Party,2020-02-21
145,0,8,Aam Aadmi Party,2020-02-22
146,0,8,Aam Aadmi Party,2020-02-23
147,0,7,Aam Aadmi Party,2020-02-24
148,0,5,Aam Aadmi Party,2020-02-25
149,0,8,Aam Aadmi Party,2020-02-26
150,0,8,Aam Aadmi Party,2020-02-27
151,0,8,Aam Aadmi Party,2020-02-28
152,0,8,Aam Aadmi Party,2020-02-29
153,0,11,Aam Aadmi Party,2020-03-01
154,0,5,Aam Aadmi Party,2020-03-02
155,0,5,Aam Aadmi Party,2020-03-03
156,0,4,Aam Aadmi Party,2020-03-04
157,0,1,Aam Aadmi Party,2020-03-05
158,0,1,Aam Aadmi Party,2020-03-06
159,0,3,Aam Aadmi Party,2020-03-07
160,0,3,Aam Aadmi Party,2020-03-08
161,0,3,Aam Aadmi Party,2020-03-09
162,0,3,Aam Aadmi Party,2020-03-10
163,0,3,Aam Aadmi Party,2020-03-11
164,0,3,Aam Aadmi Party,2020-03-12
165,0,3,Aam Aadmi Party,2020-03-13
166,0,2,Aam Aadmi Party,2020-03-14
167,0,2,Aam Aadmi Party,2020-03-15
168,0,2,Aam Aadmi Party,2020-03-16
169,0,3,Aam Aadmi Party,2020-03-17
170,0,3,Aam Aadmi Party,2020-03-18
171,0,3,Aam Aadmi Party,2020-03-19
172,0,3,Aam Aadmi Party,2020-03-20
173,0,2,Aam Aadmi Party,2020-03-21
174,0,1,Aam Aadmi Party,2020-03-22
175,0,2,Aam Aadmi Party,2020-03-23
176,0,2,Aam Aadmi Party,2020-03-24
177,0,2,Aam Aadmi Party,2020-03-25
178,0,2,Aam Aadmi Party,2020-03-26
179,0,2,Aam Aadmi Party,2020-03-27
180,0,2,Aam Aadmi Party,2020-03-28
181,0,2,Aam Aadmi Party,2020-03-29
182,0,1,Aam Aadmi Party,2020-03-30
183,0,2,Aam Aadmi Party,2020-03-31
184,0,2,Aam Aadmi Party,2020-04-01
185,0,2,Aam Aadmi Party,2020-04-02
186,0,2,Aam Aadmi Party,2020-04-03
187,0,2,Aam Aadmi Party,2020-04-04
188,0,2,Aam Aadmi Party,2020-04-05
189,0,2,Aam Aadmi Party,2020-04-06
190,0,2,Aam Aadmi Party,2020-04-07
191,0,1,Aam Aadmi Party,2020-04-08
192,0,1,Aam Aadmi Party,2020-04-09
193,0,1,Aam Aadmi Party,2020-04-10
194,0,1,Aam Aadmi Party,2020-04-11
195,0,1,Aam Aadmi Party,2020-04-12
196,0,1,Aam Aadmi Party,2020-04-13
197,0,1,Aam Aadmi Party,2020-04-14
198,0,1,Aam Aadmi Party,2020-04-15
199,0,3,Aam Aadmi Party,2020-04-16
200,0,11,Aam Aadmi Party,2020-04-17
201,0,11,Aam Aadmi Party,2020-04-18
202,0,10,Aam Aadmi Party,2020-04-19
203,0,8,Aam Aadmi Party,2020-04-20
204,0,8,Aam Aadmi Party,2020-04-21
205,0,10,Aam Aadmi Party,2020-04-22
206,0,10,Aam Aadmi Party,2020-04-23
207,0,10,Aam Aadmi Party,2020-04-24
208,0,11,Aam Aadmi Party,2020-04-25
209,0,11,Aam Aadmi Party,2020-04-26
210,0,4,Aam Aadmi Party,2020-04-27
211,0,31,Alternative,2020-01-02
212,0,31,Alternative,2020-01-03
213,0,92,Alternative,2020-01-04
214,0,86,Alternative,2020-01-05
215,0,68,Alternative,2020-01-06
216,0,68,Alternative,2020-01-07
217,0,59,Alternative,2020-01-08
218,0,36,Alternative,2020-01-09
219,0,27,Alternative,2020-01-10
220,0,27,Alternative,2020-01-11
221,0,34,Alternative,2020-01-12
222,0,76,Alternative,2020-01-13
223,3,103,Alternative,2020-01-14
224,0,50,Alternative,2020-01-18
225,0,75,Alternative,2020-01-19
226,0,46,Alternative,2020-01-20
227,0,75,Alternative,2020-01-21
228,0,75,Alternative,2020-01-22
229,4,148,Alternative,2020-01-23
230,0,90,Alternative,2020-01-28
231,0,75,Alternative,2020-01-29
232,0,66,Alternative,2020-01-30
233,0,63,Alternative,2020-01-31
234,0,47,Alternative,2020-02-01
235,0,74,Alternative,2020-02-02
236,0,66,Alternative,2020-02-03
237,0,72,Alternative,2020-02-04
238,0,72,Alternative,2020-02-05
239,5,121,Alternative,2020-02-06
240,0,79,Alternative,2020-02-12
241,0,24,Alternative,2020-02-13
242,0,18,Alternative,2020-02-14
243,0,19,Alternative,2020-02-15
244,0,93,Alternative,2020-02-16
245,0,93,Alternative,2020-02-17
246,0,93,Alternative,2020-02-18
247,6,219,Alternative,2020-02-19
248,0,25,Alternative,2020-02-26
249,0,39,Alternative,2020-02-27
250,0,39,Alternative,2020-02-28
251,0,52,Alternative,2020-02-29
252,0,61,Alternative,2020-03-01
253,0,61,Alternative,2020-03-02
254,0,58,Alternative,2020-03-03
255,0,40,Alternative,2020-03-04
256,0,40,Alternative,2020-03-05
257,3,109,Alternative,2020-03-06
258,1,107,Alternative,2020-03-10
259,0,66,Alternative,2020-03-12
260,0,39,Alternative,2020-03-13
261,0,51,Alternative,2020-03-14
262,0,51,Alternative,2020-03-15
263,0,51,Alternative,2020-03-16
264,0,27,Alternative,2020-03-17
265,0,29,Alternative,2020-03-18
266,0,74,Alternative,2020-03-19
267,0,74,Alternative,2020-03-20
268,0,74,Alternative,2020-03-21
269,0,74,Alternative,2020-03-22
270,0,74,Alternative,2020-03-23
271,0,28,Alternative,2020-03-24
272,0,28,Alternative,2020-03-25
273,0,24,Alternative,2020-03-26
274,0,7,Alternative,2020-03-27
275,0,14,Alternative,2020-03-28
276,9,353,Alternative,2020-03-29
277,0,84,Alternative,2020-04-08
278,0,38,Alternative,2020-04-09
279,0,38,Alternative,2020-04-10
280,5,175,Alternative,2020-04-11
281,0,38,Alternative,2020-04-17
282,0,57,Alternative,2020-04-18
283,0,77,Alternative,2020-04-19
284,0,82,Alternative,2020-04-20
285,0,82,Alternative,2020-04-21
286,0,34,Alternative,2020-04-22
287,0,53,Alternative,2020-04-23
288,0,53,Alternative,2020-04-24
289,0,29,Alternative,2020-04-25
290,0,31,Alternative,2020-04-26
291,0,16,Alternative,2020-04-27
292,12,1232,Apryl Jones,2020-01-02
293,0,238,Apryl Jones,2020-01-15
294,0,28,Apryl Jones,2020-01-16
295,0,20,Apryl Jones,2020-01-17
296,0,20,Apryl Jones,2020-01-18
297,0,8,Apryl Jones,2020-01-19
298,0,5,Apryl Jones,2020-01-20
299,0,3,Apryl Jones,2020-01-21
300,0,3,Apryl Jones,2020-01-22
301,0,3,Apryl Jones,2020-01-23
302,0,3,Apryl Jones,2020-01-24
303,0,3,Apryl Jones,2020-01-25
304,0,1,Apryl Jones,2020-01-26
305,0,1,Apryl Jones,2020-01-27
306,0,1,Apryl Jones,2020-01-28
307,0,1,Apryl Jones,2020-01-29
308,0,3,Apryl Jones,2020-01-30
309,0,3,Apryl Jones,2020-01-31
310,0,3,Apryl Jones,2020-02-01
311,0,3,Apryl Jones,2020-02-02
312,0,3,Apryl Jones,2020-02-03
313,0,2,Apryl Jones,2020-02-04
314,0,2,Apryl Jones,2020-02-05
315,0,1,Apryl Jones,2020-02-06
316,0,0,Apryl Jones,2020-02-07
317,0,0,Apryl Jones,2020-02-08
318,0,0,Apryl Jones,2020-02-09
319,0,0,Apryl Jones,2020-02-10
320,0,1,Apryl Jones,2020-02-11
321,0,2,Apryl Jones,2020-02-12
322,0,2,Apryl Jones,2020-02-13
323,0,2,Apryl Jones,2020-02-14
324,0,2,Apryl Jones,2020-02-15
325,0,2,Apryl Jones,2020-02-16
326,0,0,Apryl Jones,2020-02-17
327,0,0,Apryl Jones,2020-02-18
328,0,0,Apryl Jones,2020-02-19
329,0,0,Apryl Jones,2020-02-20
330,0,0,Apryl Jones,2020-02-21
331,0,0,Apryl Jones,2020-02-22
332,0,0,Apryl Jones,2020-02-23
333,0,0,Apryl Jones,2020-02-24
